n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
15	BIN_IO	BinIO.inputAll	Reading	note	"After end-of-stream, a file that has grown delivers the appended bytes; justified by STREAM_IO ""exactly the sequence returned by the underlying reader"" and POSIX read semantics."		tests/basis/binio.sml:337-344	1	tests	BinIO.inputAll/file-grows-after-end-of-stream		yes		testsA	
16	BIN_IO	BinIO.openOut	Reading	note	Flush-and-close at program exit cannot be observed by the runner; the check only leaves a stream open, and left-open.bin must hold 1 2 3 afterwards (unverified).		tests/basis/binio.sml:708-712	1	tests	BinIO.openOut/left-open-at-exit		yes		testsA	
17	BIT_FLAGS	BIT_FLAGS.fromWord	Reading	note	"""toWord o fromWord = fn w => andb (w, toWord all)"" is required also for words with bits that no flag has (fromWord masks them away)."		tests/basis/fn/bit_flags_fn.sml:74-75	1	tests	<name>.fromWord/bits-beyond-all, <name>.fromWord/random-words-beyond-all		yes		testsB	
18	BOOL	Bool.fromString	Reading	note	Characters next to the whitespace codes (0, 8, 14, 31, 33, 95, 127) are not whitespace, so a string starting with one gives NONE.		tests/basis/bool.sml:77-78	1	tests	Bool.fromString/none-not-whitespace-<code>		yes		testsA	
19	BOOL	Bool.scan, fromString; Bool.scan	Reading	note	'Initial whitespace' is what Char.isSpace accepts (space, \t \n \v \f \r), as StringCvt.skipWS.	"[testsA] Whitespace is what Char.isSpace accepts (taken from StringCvt.skipWS); whatever follows the word stays in the stream, so a string only has to start with it. || [lib] Case-insensitive ""true""/""false"" after initial whitespace; whatever follows the word (even letters) stays in the stream."	docs/basis-compat.md:349; lib/basis/bool.sml:9-10; tests/basis/bool.sml:2-10,7-9	4	docs,lib-body,tests	Bool.fromString/wsx-*, Bool.scan/wsx-*, Bool.fromString/wsx-return, Bool.fromString/wsx-vertical-tab, Bool.fromString/wsx-formfeed, Bool.fromString/wsx-all-six, Bool.fromString/prefix-truely, Bool.fromString/prefix-falsetto, Bool.fromString/prefix-two-words		yes	no (smlnj HOST-BUG:36)	lib,mine,testsA	16
20	BYTE	Byte.byteToChar	Reading	note	A byte above 127 is the character with that code, not a negative (signed) one.		tests/basis/byte.sml:76	1	tests	Byte.byteToChar/high-bytes-are-not-negative		yes		testsA	
21	BYTE	Byte.packString	Reading	quote-only	Quote only: Subscript if i<0 or size s + i > |arr|.		lib/basis/byte.sml:11	1	lib-body			no		lib	
22	BYTE	Byte.unpackString	Reading	note	The slice is read when unpackString is called, so the result reflects the array contents at that moment.		tests/basis/byte.sml:121	1	tests	Byte.unpackString/sees-the-current-contents		yes		testsA	
23	CHAR	Char.compare	Reading	borderline	Characters are ordered by their codes, which are non-negative: 127 < 128 and 255 > 0.		tests/basis/char.sml:92	1	tests	Char.compare/127-128, Char.compare/255-0, Char.compare/all-pairs		yes		testsA	
24	CHAR	Char.fromCString	Reading	note	Every printable character except the double quote and the backslash converts to itself (single quote included); everything outside the printable range is rejected.	[lib] C syntax: no formatting sequences, an unescaped double quote is rejected, \ooo takes one to three octal digits, \x any number of hex digits.	lib/basis/char.sml:78-79; tests/basis/char.sml:499-501	2	lib-body,tests	Char.fromCString/printable-only-all-converted, Char.fromCString/printable-only-all-rejected		yes		lib,testsA	
25	CHAR	Char.fromCString	Reading	note	A hex escape whose value does not fit in an int still gives NONE, not Overflow.	[lib] A \x escape whose value exceeds 255 yields NONE however many digits it has (no Overflow).	lib/basis/char.sml:88; tests/basis/char.sml:565	2	lib-body,tests	Char.fromCString/hex-huge-does-not-fit		yes		lib,testsA	
26	CHAR	Char.fromString	Reading	note	A first character outside [0x20, 0x7E], or a backslash by itself, gives NONE; every other printable character converts to itself (double quote checked separately).		tests/basis/char.sml:298-299	1	tests	Char.fromString/printable-only-all-converted, Char.fromString/printable-only-all-rejected		yes		testsA	
27	CHAR	Char.fromString, Char.scan	Reading	note	Unescaped double quote: page says 'as allowed in an SML program' but names only non-printing chars and bad escapes as reasons to stop. RUNE CONVERTS it (as Poly/ML); the test takes NONE (MLton, SML/NJ) -- the one check Rune fails.		tests/basis/deviations.txt:46-47; docs/basis-compat.md:214-216,337; docs/language.md:204; lib/basis/char.sml:56-70; tests/basis/char.sml:306-312	6	deviations,docs,lib-body,tests	Char.fromString/unescaped-double-quote		yes	rune:46 polyml:47	mine	1
28	CHAR	Char.isAlpha … isPrint; Char	Reading	note	The predicate sets are those of the page's Discussion, independent of the locale: no character above 127 is in any class.	[testsA] The predicate sets are those of the page's Discussion section, so independent of the locale: no character above 127 is a letter, control, printable, etc.	lib/basis/char.sml:189; tests/basis/char.sml:2-9,151-152	3	lib-body,tests	Char.isAscii/latin1, Char.isUpper/latin1, Char.isUpper/A-grave, Char.isLower/latin1, Char.isLower/a-grave, Char.isDigit/superscript-two, Char.isAlpha/latin1, Char.isAlpha/e-acute, Char.isAlphaNum/latin1, Char.isHexDigit/latin1	Char.isAlpha/exact-set	yes	no	mine,testsA	122
29	CHAR	Char.scan	Reading	note	Formatting sequences after the scanned character are consumed too, so the remaining stream never starts with one.		lib/basis/char.sml:72	1	lib-body			no		lib	
30	CHAR	Char.scan, String.scan	Reading	note	Formatting sequences \f...f\ (one or more formatting characters) are skipped when scanning SML escapes.		lib/basis/char.sml:17-18	1	lib-body			no		lib	
31	CHAR	Char.toLower	Reading	note	toLower and toUpper change ASCII letters only; Latin-1 letters such as \192, \224, \255 are unchanged.		tests/basis/char.sml:229	1	tests	Char.toLower/A-grave, Char.toLower/all, Char.toUpper/a-grave, Char.toUpper/y-diaeresis		yes		testsA	
32	CHAR	WideChar.fromString, scan	Reading	note	\ddd of three decimal digits may name any code point (up to 999), \u takes four hex digits, \U eight (as MLton reads it).		lib/basis/widechar.sml:125-126	1	lib-body			no		lib	
33	CHAR (WideChar)	WideChar.isAlpha … toUpper; WideChar.isAlpha; WideChar.isAlpha, toUpper, toLower, ...; WideChar	Reading	note	Classes and case conversions of wide characters are those of ASCII ('definition of a letter is locale-dependent'); above 127 no class, own case; as MLton.	"[testsB] Wide character classes are left to the implementation; here they are those of ASCII: a character above 127 is in no class, and case conversion leaves it unchanged. || [lib] ""Locale-dependent"" classes are read as ASCII only: characters above 127 are in no class and are their own case, as MLton (also widechar.sml:61). || [lib] Optional; a character is a Unicode code point 0..0x10FFFF in a type of its own (as MLton)."	docs/basis-compat.md:227-229; docs/language.md:268; lib/basis/widechar.sml:1-15; tests/basis/widechar.sml:2-12,63	5	docs,lib-body,tests	WideChar.isAscii/above-127, WideChar.isAlpha/e-acute, WideChar.isAlphaNum/emoji, WideChar.isUpper/capital-e-acute, WideChar.toLower/leaves-a-wide-character, WideChar.toUpper/leaves-a-wide-character	WideChar.is*/	yes	no	lib,mine,testsB	49
34	CHAR	WideChar.scan	Reading	note	As the CHAR signature writes it, WideChar.scan reads from a stream of 8-bit char and yields a wide character.		tests/basis/widechar.sml:124	1	tests	WideChar.scan/takes-the-escape-and-leaves-the-rest, WideChar.scan/NONE-on-nothing-to-read		yes		testsB	
35	CHAR (WideChar)	WideChar.toString, fromString, toCString, fromCString; WideChar.toString, toCString; WideChar.toString	Reading	note	Text is of 8-bit char as the signature writes it; a char above 255 is \uXXXX or \UXXXXXXXX (as MLton); \ddd of any code point is read.	[lib] Characters above 255 are written \uXXXX, above 0xFFFF \UXXXXXXXX (MLton's escapes). || [testsB] As the signature writes it, the text of WideChar.toString/fromString is a String.string of 8-bit chars, not a wide string.	docs/basis-compat.md:229; docs/language.md:268-269; lib/basis/widechar.sml:91; tests/basis/widechar.sml:2-12; tests/basis/widechar_sig.sml:3-6; tests/basis/widestring.sml:2-8	6	docs,lib-body,tests	WideChar:CHAR/toString-gives-a-string-of-char	WideChar.toString/*	yes	no	lib,mine,testsB	50
36	COMMAND_LINE	CommandLine.arguments	Reading	note	[] under the test runner; 'operating system and implementation-specific' (poly --use reports the compiler's options).		tests/basis/deviations.txt:100; docs/basis-compat.md:350	2	deviations,docs	CommandLine.arguments/none-under-the-runner		yes	polyml:100	mine	17
37	DATE	Date.compare	Reading	note	Compares year, month, day, hour, minute, second in that order; offsets are not taken into account.		lib/basis/date.sml:285-286	1	lib-body			no		lib	
38	DATE	Date.date	Reading	note	"""Leap years follow the Gregorian calendar"" is read as the proleptic Gregorian calendar for all years, for dates at a fixed offset."		lib/basis/date.sml:60-64	1	lib-body			no		lib	
39	DATE	Date.date	Reading	note	Out-of-range seconds, minutes, hours, days and months are carried upward into the next field, up to years.		lib/basis/date.sml:85-87	1	lib-body			no		lib	
40	DATE	Date.date	Reading	note	Offsets are reduced modulo 24 hours with the whole days moved into the hours; a local date (offset NONE) is normalised by the C library.		lib/basis/date.sml:101-105	1	lib-body			no		lib	
41	DATE	Date.date, toTime (range)	Reading	note	'around 1900 to 2200' must be supported; outside the 32-bit time_t range checks accept the date or exception Date.		tests/basis/date.sml:2-16,126-127,198	3	tests		labels that say so	no	no (mlton HOST-BUG)	mine	34
42	DATE	Date.fmt	Reading	note	"The page gives no name for UTC under %Z; the test accepts ""UTC"", ""GMT"", ""Z"" or the empty string."	"[lib] %Z gives the C library's zone name for local dates, ""UTC"" for offset zero and the empty string for any other offset."	lib/basis/date.sml:178-179; tests/basis/date_fmt.sml:114-115	2	lib-body,tests	Date.fmt/%Z-UTC		yes		lib,testsA	
43	DATE	Date.fmt	Reading	note	scan does no consistency check, so for an inconsistent text it may give NONE, a canonical date, or the date as written (fmt/toString then raise Date); an invalid date is never printed.		tests/basis/date_fmt.sml:124-128	1	tests	Date.fmt/prints-no-second-99, Date.fmt/prints-no-hour-24, Date.fmt/prints-no-30-February, Date.fmt/prints-a-valid-date, Date.toString/prints-no-31-April, Date.toString/prints-no-minute-60		yes		testsA	
44	DATE	Date.fmt, Date.toString	Reading	note	Raise Date for an invalid date (possible from scan); day must fit the month, seconds may be 0..61.		lib/basis/date.sml:154-155	1	lib-body			no		lib	
45	DATE	Date.fmt, toString; Date.fmt; Date.toString; Date.fmt %Z	Reading	note	"fmt is strftime in the ""C"" locale (program start); only the spec's directives reach strftime, other %c gives c; invalid date raises Date."	"[lib] Only the specification's directives are passed to strftime; % before any other character c yields c; a lone trailing % yields %. || [lib] Uses the fixed format ""%a %b %d %H:%M:%S %Y"" (e.g. ""Thu Sep 18 23:39:29 2026"") rather than the locale's %c. || [lib] Zone names are known only for the local zone and UTC; any other offset gives """"."	docs/language.md:216; lib/basis/date.sml:161-163,187-188; tests/basis/date_fmt.sml:2-11	4	docs,lib-body,tests		Date.fmt/*	no	no	lib,mine	35
46	DATE	Date.fromTimeUniv; Date.fromTimeUniv, fromTimeLocal	Reading	note	The date of a time is that of the second it falls in: fractions are dropped, also for times before 1970.	[lib] The sub-second part is dropped: the date is the second the time falls in (floor).	lib/basis/date.sml:134; tests/basis/date.sml:272	2	lib-body,tests	Date.fromTimeUniv/fraction-of-a-second, Date.fromTimeUniv/fraction-of-a-second-1969		yes		lib,testsA	
47	DATE	Date.isDst	Reading	note	A UTC date has no daylight saving time: isDst must not be SOME true (NONE and SOME false both accepted).		tests/basis/date.sml:145	1	tests	Date.isDst/UTC-is-not-daylight-saving		yes		testsA	
48	DATE	Date.localOffset	Reading	note	Page does not say whether DST is included and takes offsets modulo 24 h: accepted is the offset now, or an hour more, modulo a day, west of UTC.		docs/language.md:216; tests/basis/date.sml:390-393	2	docs,tests	Date.localOffset/west-of-UTC-now, Date.localOffset/less-than-a-day, Date.localOffset/whole-minutes		yes	no	mine	33
49	DATE	Date.scan, Date.fromString	Reading	note	Reads exactly the toString layout after leading whitespace; result is a local date (offset NONE, isDst NONE), weekday as written, not validated.		lib/basis/date.sml:191	1	lib-body			no		lib	
50	DATE	Date.toTime	Reading	note	"""Interpreted in its own time zone"": a date at offset t west of UTC converts to its UTC reading plus t; overflow raises Date."		lib/basis/date.sml:139-140	1	lib-body			no		lib	
51	GENERAL	General.exnMessage	Reading	note	'format may vary': only that it returns, contains exnName for the standard exceptions, and does not raise.		docs/basis-compat.md:358-359; tests/basis/general.sml:208-209	2	docs,tests	General.exnMessage/returns-*, General.exnMessage/contains-exnName-*		yes	no (smlnj HOST-BUG:28)	mine	32
52	GENERAL	General.exnName	Reading	note	"For `exception E2 = E1`, exnName E2 may be ""E1"" or ""E2"": both accepted."	"[testsA] For an aliased exception the page allows either name, so both ""E1"" and ""E2"" (and ""Div"" or ""Zero"") are accepted."	tests/basis/general.sml:192-194,192-193	1	tests	General.exnName/alias-either-name, General.exnName/alias-of-standard		yes	no	mine,testsA	117
53	IEEE_REAL	IEEEReal.scan	Reading	note	A scanned exponent that does not fit an int is treated as the largest int instead of raising Overflow.		lib/basis/ieeereal.sml:121	1	lib-body			no		lib	
54	IEEE_REAL	IEEEReal.scan, Real.scan	Reading	note	Grammar [+~-]?(digits(.digits)?|.digits)([eE][+~-]?digits)? or inf/infinity/nan in any case; every digit is kept.		lib/basis/ieeereal.sml:35-37	1	lib-body			no		lib	
55	IMPERATIVE_IO	IMPERATIVE_IO.lookahead	Reading	note	At an end-of-stream lookahead returns NONE and removes nothing (not the end-of-stream either); a following input consumes it.		tests/basis/fn/imperative_io_fn.sml:111-112	1	tests	<name>.lookahead/does-not-pass-an-end-of-stream		yes		testsB	
56	IMPERATIVE_IO	TextIO/BinIO.inputAll, input, input1, inputLine, endOfStream; input1	Reading	note	STREAM_IO model for a file that grows after end-of-stream: inputLine and endOfStream do not consume the end-of-stream, input/input1/inputAll do, and then read what the file gained.	[lib] After returning NONE the stream is positioned past that end-of-stream, as StreamIO.inputN (f, 1) leaves it.	tests/basis/deviations.txt:91-92; docs/basis-compat.md:344; docs/language.md:226; docs/plans/basis.md:157; lib/basis/imperativeio_fn.sml:29-31; tests/basis/textio.sml:1131	6	deviations,docs,lib-body,tests	TextIO.inputAll/file-grows-after-end-of-stream, TextIO.inputLine/*end-of-stream	BinIO.*	yes	polyml:91-92	lib,mine	10
57	IMPERATIVE_IO	TextIO/BinIO.openIn, openOut, openAppend	Reading	note	"Io {function} is the unqualified name (""openIn""); Poly/ML reports ""TextIO.openIn""."		tests/basis/deviations.txt:89; docs/basis-compat.md:343	2	deviations,docs	TextIO.openIn/Io-function		yes	polyml:89	mine	9
58	IMPERATIVE_IO	closeIn	Reading	note	closeIn replaces the functional stream by an empty one: read-ahead data is dropped.		lib/basis/imperativeio_fn.sml:42-44	1	lib-body			no		lib	
59	IMPERATIVE_IO	getOutstream	Reading	quote-only	Quote only: flushes strm and returns the underlying StreamIO outstream.		lib/basis/imperativeio_fn.sml:19	1	lib-body			no		lib	
60	IMPERATIVE_IO	setOutstream	Reading	quote-only	Quote only: flushes the old underlying stream before assigning the new one.		lib/basis/imperativeio_fn.sml:21-22	1	lib-body			no		lib	
61	IMPERATIVE_IO / STREAM_IO	inputN	Reading	note	Size when the number of elements TO BE RETURNED exceeds maxLen (STREAM_IO wording), not when n > maxLen (IMPERATIVE_IO wording).		tests/basis/textio.sml:760-764	1	tests	TextIO.inputN/more-than-maxSize-of-a-short-file		yes	no -- NOT in basis-compat	mine	21
62	INTEGER	INTEGER.mod	Reading	note	mod and rem raise Div only, never Overflow: minInt mod ~1 and minInt rem ~1 are 0, although div and quot overflow there.		tests/basis/fn/integer_fn.sml:340	1	tests	<name>.mod/minInt-by-minus-one, <name>.rem/minInt-by-minus-one		yes		testsB	
63	INTEGER	INTEGER.sameSign	Reading	note	"""Equivalent to (sign i = sign j)"", so zero has the same sign as zero only, not as positive numbers."		tests/basis/fn/integer_fn.sml:241	1	tests	<name>.sameSign/zero-zero, <name>.sameSign/zero-pos, <name>.sameSign/pos-zero, <name>.sameSign/zero-neg, <name>.sameSign/neg-zero		yes		testsB	
64	WORD / INTEGER	Word.scan, fromString (and WordN); INTEGER.scan; Int.scan; Word.scan; WORD.scan	Reading	note	"A bare prefix (""0wx"", ""0x"", ""0wxg"") scans as the 0, as INTEGER's ""0xg"" note says; WORD has no such note. Also 0w is no prefix in HEX."	"[testsB] ""0xg""/""0x 123"" scan as SOME 0 is read as: the number is the digit 0 alone and the stream continues with the x. || [lib] [+~-]?digits; in HEX an optional 0x/0X counts only if a digit follows (""0xg"" gives 0, leaving ""xg""); minInt scans without overflow. || [lib] (0w)?digits; in HEX 0wx/0wX/0x/0X; a prefix counts only if a digit follows (""0wxg"" gives 0 leaving ""wxg""); Overflow if too large. || [testsB] The same for scan: a ""0w"" prefix without a digit after it scans as 0, with ""w..."" left in the stream; ""0x"" and ""0W"" are no prefixes outside HEX."	docs/basis-compat.md:348; lib/basis/int.sml:75-77; lib/basis/word.sml:72-74; tests/basis/fn/integer_scan_fn.sml:117,117-118; tests/basis/fn/word_fn.sml:365; tests/basis/fn/word_scan_fn.sml:87,112	7	docs,lib-body,tests	<W>.fromString/bare-prefix-0x, <name>.scan/HEX-bare-prefix-0x-then-non-digit, <name>.scan/HEX-bare-prefix-0x-then-space, <name>.scan/HEX-bare-prefix-0x, <name>.scan/HEX-bare-prefix-0X, <name>.scan/HEX-prefix-twice, <name>.scan/HEX-0xg-is-zero, <name>.scan/HEX-0x-123-is-zero, <name>.scan/DEC-bare-prefix-0w-then-x, <name>.scan/DEC-bare-prefix-0w, <name>.scan/DEC-bare-prefix-0w-then-space, <name>.scan/DEC-prefix-twice, <name>.scan/DEC-0x-is-no-prefix, <name>.scan/DEC-upper-case-prefix	<W>.scan/...bare-prefix-0wx	yes	no (polyml HOST-BUG:77-78 for 0w)	lib,mine,testsB	15
65	INT_INF	IntInf.scan	Reading	note	Same grammar: optional sign, digits, and in HEX a 0x/0X prefix only when a digit follows.		lib/basis/intinf.sml:206-207	1	lib-body			no		lib	
66	LIST_PAIR	ListPair.allEq	Reading	note	The implementation note (apply f to the common prefix, lazily) is taken over the 'equivalent' expression (apply f to nothing when lengths differ). All hosts agree.		docs/basis-compat.md:345; tests/basis/listpair.sml:219-229	2	docs,tests	ListPair.allEq/applies-before-lengths-are-known		yes	no	mine	11
67	LIST_PAIR	ListPair.allEq	Reading	borderline	allEq never raises UnequalLengths: unequal lengths give false.		tests/basis/listpair.sml:204-205	1	tests	ListPair.allEq/left-longer, ListPair.allEq/right-longer, ListPair.allEq/nil-left, ListPair.allEq/nil-right		yes		testsA	
68	LIST_PAIR	ListPair.foldrEq	Reading	note	Folding from the right needs the last pair first, so the end of the shorter list is reached and UnequalLengths raised before f is applied at all.		tests/basis/listpair.sml:175-177	1	tests	ListPair.foldrEq/raises-before-applying		yes		testsA	
69	MATH	Math.atan2	Reading	note	"The sign identities hold ""except for inaccuracies"", so the sample points are kept away from the axes; result in [-pi, pi], equal to atan(y/x) for x > 0."		tests/basis/math.sml:218-220	1	tests	Math.atan2/law-quadrant		yes		testsA	
70	MATH	Math.cosh	Reading	note	cosh negInf = posInf, by the definition (e^x+e^-x)/2; the page's 'cosh +-inf = +-inf' cannot be meant (MLton follows it).		tests/basis/deviations.txt:106; docs/basis-compat.md:340; tests/basis/math.sml:394-395	3	deviations,docs,tests	Math.cosh/negInf		yes	mlton:106	mine	6
71	MATH	Math.pow	Reading	note	pow (+-1, +-inf) and pow (1, NaN) are NaN as the page's table says; C99/IEEE 754-2008 say 1 (Poly/ML: 1.0, a HOST-BUG line).	"[testsA] The page's table row ""+-1, +-infinity: NaN"" is pinned even though C99 gives 1. || [lib] C's pow returns 1 for pow(1,NaN) and pow(+-1,+-inf); the spec wants NaN, so those cases are intercepted."	docs/basis-compat.md:341; docs/language.md:203; lib/basis/real.sml:310-311; tests/basis/math.sml:310-313,313	5	docs,lib-body,tests	Math.pow/one-base-nan-exponent, Math.pow/one-base-posInf, Math.pow/one-base-negInf, Math.pow/minus-one-base-posInf, Math.pow/minus-one-base-negInf		yes	no SPEC-AMBIGUOUS line (polyml HOST-BUG)	lib,mine,testsA	7
72	MATH	Math.tan	Reading	note	"""Infinities at various finite values"" is read loosely: at the double nearest pi/2 the magnitude only has to exceed 1E15."		tests/basis/math.sml:106-108	1	tests	Math.tan/near-singularity		yes		testsA	
73	MONO_ARRAY	array equality	Reading	note	MONO_ARRAY says only `eqtype array`: identity equality as the Array page defines it, also for zero length.		tests/basis/fn/mono_array_fn.sml:317-322	1	tests	<A>.array/same-array-is-equal, <A>.array/zero-length-not-equal		yes	no (polyml HOST-BUG:533)	mine	47
74	MONO_ARRAY2	<Mono>Array2.sub	Reading	quote-only	Quote only: Subscript if i<0 or nRows<=i, likewise for j and nCols.		lib/basis/mono_array2_fn.sml:27-28	1	lib-body			no		lib	
75	MONO_ARRAY2	MONO_ARRAY2.copy	Reading	note	"(marginal) ""Must correctly handle"" overlap is read as: the elements arrive as they were before the copy, whichever way they move."		tests/basis/fn/mono_array2_fn.sml:355-358	1	tests	<name>.copy/overlap-down-right, <name>.copy/overlap-up-left, <name>.copy/overlap-down-left, <name>.copy/overlap-up-right, <name>.copy/overlap-right, <name>.copy/overlap-left		yes		testsB	
